0,3.0821109048180935e-11
1,3.0820545959312325e-11
2,3.082129529547944e-11
3,3.0821972921837247e-11
4,3.0820413071277846e-11
5,3.0820968785877617e-11
6,3.0820417158211816e-11
7,3.082111487957926e-11
8,3.0768375346782844e-11
9,3.082141945399237e-11
10,3.082171344599935e-11
11,3.0822734939358134e-11
12,3.082233206550095e-11
13,3.0821857782531144e-11
14,3.082220180496267e-11
15,3.0823695844026686e-11
16,3.0822403049826543e-11
17,3.0824193372968695e-11
18,3.082307175735093e-11
19,3.077064449002678e-11
20,3.082384243451315e-11
21,3.0824896415397113e-11
22,3.08245328675856e-11
23,3.077192379607427e-11
24,3.0824749732584055e-11
25,3.0824874554747294e-11
26,3.0824711029107596e-11
27,3.08242557734624e-11
28,3.0824496909342925e-11
29,3.0824452124169905e-11
30,3.0824208100754065e-11
31,3.0824600665796766e-11
32,3.082488267186403e-11
33,3.0772270191045084e-11
34,3.077188751087688e-11
35,3.082418869099408e-11
36,3.082505285433566e-11
37,3.0824899931854394e-11
38,3.082477707904276e-11
39,3.0824187155323345e-11
40,3.082454951855928e-11
41,3.0824915989057975e-11
42,3.082504271789238e-11
43,3.082525406531821e-11
44,3.082477702567968e-11
45,3.082504682600217e-11
46,3.082521555665933e-11
47,3.082517549877719e-11
48,3.0824842478456614e-11
