time,voltage
2.957263249957e-06,0.041251762
2.957263494098e-06,0.041251762
2.957263738239e-06,0.041260393
2.95726398238e-06,0.04126327
2.9572642265210003e-06,0.041269024
2.9572644706620004e-06,0.041274778
2.9572647148030005e-06,0.041277655
2.9572649589440006e-06,0.041289163
2.9572652030850007e-06,0.041289163
2.957265447226001e-06,0.041300671
2.957265691367001e-06,0.041306425
2.957265935508001e-06,0.041309302
2.957266179649001e-06,0.041315056
2.9572664237900013e-06,0.041317933
2.9572666679310014e-06,0.041326564
2.9572669120720015e-06,0.041332318
2.9572671562130016e-06,0.041340949
2.9572674003540017e-06,0.041343826
2.957267644495002e-06,0.04134958
2.957267888636002e-06,0.041352457
2.957268132777002e-06,0.041361088
2.957268376918002e-06,0.041366842
2.9572686210590022e-06,0.041372596
2.9572688652000023e-06,0.041381227
2.9572691093410024e-06,0.041381227
2.9572693534820026e-06,0.041389858
2.9572695976230027e-06,0.041389858
2.9572698417640028e-06,0.041398489
2.957270085905003e-06,0.041404243
2.957270330046003e-06,0.041409997
2.957270574187003e-06,0.041418628
2.957270818328003e-06,0.041418628
2.9572710624690033e-06,0.041430136
2.9572713066100034e-06,0.041427259
2.9572715507510035e-06,0.041438767
2.9572717948920036e-06,0.041438767
2.9572720390330037e-06,0.041441644
2.957272283174004e-06,0.041447398
2.957272527315004e-06,0.041450275
2.957272771456004e-06,0.041458906
2.957273015597004e-06,0.041458906
2.9572732597380043e-06,0.041467537
2.9572735038790044e-06,0.041470415
2.9572737480200045e-06,0.041473292
2.9572739921610046e-06,0.041476169
2.9572742363020047e-06,0.041476169
2.957274480443005e-06,0.041481923
2.957274724584005e-06,0.041487677
2.957274968725005e-06,0.041493431
2.957275212866005e-06,0.041493431
2.9572754570070052e-06,0.041496308
2.9572757011480053e-06,0.041496308
2.9572759452890054e-06,0.041502062
2.9572761894300056e-06,0.041504939
2.9572764335710057e-06,0.041510693
2.9572766777120058e-06,0.04151357
2.957276921853006e-06,0.041510693
2.957277165994006e-06,0.041516447
2.957277410135006e-06,0.04151357
2.957277654276006e-06,0.041519324
2.9572778984170063e-06,0.041519324
2.9572781425580064e-06,0.041522201
2.9572783866990065e-06,0.041527955
2.9572786308400066e-06,0.041525078
2.9572788749810067e-06,0.041533709
2.957279119122007e-06,0.041527955
2.957279363263007e-06,0.041533709
2.957279607404007e-06,0.041527955
2.957279851545007e-06,0.041530832
2.9572800956860073e-06,0.041530832
2.9572803398270074e-06,0.041527955
2.9572805839680075e-06,0.041533709
2.9572808281090076e-06,0.041527955
2.9572810722500077e-06,0.041536586
2.957281316391008e-06,0.041533709
2.957281560532008e-06,0.041530832
2.957281804673008e-06,0.041530832
2.957282048814008e-06,0.041527955
2.9572822929550082e-06,0.041527955
2.9572825370960083e-06,0.041527955
2.9572827812370084e-06,0.041530832
2.9572830253780086e-06,0.041525078
2.9572832695190087e-06,0.041525078
2.9572835136600088e-06,0.041522201
2.957283757801009e-06,0.041522201
2.957284001942009e-06,0.041519324
2.957284246083009e-06,0.041522201
2.957284490224009e-06,0.041522201
2.9572847343650093e-06,0.04151357
2.9572849785060094e-06,0.04151357
2.9572852226470095e-06,0.041507816
2.9572854667880096e-06,0.041507816
2.9572857109290097e-06,0.041504939
2.95728595507001e-06,0.041502062
2.95728619921101e-06,0.041502062
2.95728644335201e-06,0.041496308
2.95728668749301e-06,0.041499185
2.9572869316340103e-06,0.041490554
2.9572871757750104e-06,0.041490554
2.9572874199160105e-06,0.041481923
2.9572876640570106e-06,0.041479046
2.9572879081980107e-06,0.041476169
2.957288152339011e-06,0.041470415
2.957288396480011e-06,0.041470415
2.957288640621011e-06,0.041461783
2.957288884762011e-06,0.04146466
2.9572891289030112e-06,0.041456029
2.9572893730440113e-06,0.041450275
2.9572896171850114e-06,0.041444521
2.9572898613260116e-06,0.041438767
2.9572901054670117e-06,0.04143589
2.9572903496080118e-06,0.041433013
2.957290593749012e-06,0.041430136
2.957290837890012e-06,0.041421505
2.957291082031012e-06,0.041415751
2.957291326172012e-06,0.041409997
2.9572915703130123e-06,0.04140712
2.9572918144540124e-06,0.041401366
2.9572920585950125e-06,0.041398489
2.9572923027360126e-06,0.041395612
2.9572925468770127e-06,0.041381227
2.957292791018013e-06,0.041381227
2.957293035159013e-06,0.041372596
2.957293279300013e-06,0.041366842
2.957293523441013e-06,0.041361088
2.9572937675820133e-06,0.041355334
2.9572940117230134e-06,0.041355334
2.9572942558640135e-06,0.041343826
2.9572945000050136e-06,0.041346703
2.9572947441460137e-06,0.041332318
2.957294988287014e-06,0.041332318
2.957295232428014e-06,0.04132081
2.957295476569014e-06,0.041315056
2.957295720710014e-06,0.041309302
2.9572959648510142e-06,0.041300671
2.9572962089920143e-06,0.041300671
2.9572964531330144e-06,0.041289163
2.9572966972740146e-06,0.041289163
2.9572969414150147e-06,0.041280532
2.9572971855560148e-06,0.041271901
2.957297429697015e-06,0.041266147
2.957297673838015e-06,0.041260393
2.957297917979015e-06,0.041254639
2.957298162120015e-06,0.041248885
2.9572984062610153e-06,0.041248885
2.9572986504020154e-06,0.041237377
2.9572988945430155e-06,0.041231623
2.9572991386840156e-06,0.041222992
2.9572993828250157e-06,0.041220115
2.957299626966016e-06,0.041214361
2.957299871107016e-06,0.041211484
2.957300115248016e-06,0.041208607
2.957300359389016e-06,0.041194222
2.9573006035300163e-06,0.041194222
2.9573008476710164e-06,0.041185591
2.9573010918120165e-06,0.041182714
2.9573013359530166e-06,0.04117696
2.9573015800940167e-06,0.041171206
2.957301824235017e-06,0.041171206
2.957302068376017e-06,0.041162575
2.957302312517017e-06,0.041162575
2.957302556658017e-06,0.041151067
2.9573028007990172e-06,0.041151067
2.9573030449400173e-06,0.041142436
2.9573032890810174e-06,0.041136682
2.9573035332220175e-06,0.041133805
2.9573037773630177e-06,0.041125174
2.9573040215040178e-06,0.041125174
2.957304265645018e-06,0.04111942
2.957304509786018e-06,0.04111942
2.957304753927018e-06,0.041113666
2.957304998068018e-06,0.041107912
2.9573052422090183e-06,0.041105035
2.9573054863500184e-06,0.041099281
2.9573057304910185e-06,0.041096404
2.9573059746320186e-06,0.041093527
2.9573062187730187e-06,0.041096404
2.957306462914019e-06,0.041087773
2.957306707055019e-06,0.041084896
2.957306951196019e-06,0.041079142
2.957307195337019e-06,0.041079142
2.9573074394780193e-06,0.041076265
2.9573076836190194e-06,0.041076265
2.9573079277600195e-06,0.041076265
2.9573081719010196e-06,0.041067634
2.9573084160420197e-06,0.041070511
2.95730866018302e-06,0.041064757
2.95730890432402e-06,0.041064757
2.95730914846502e-06,0.04106188
2.95730939260602e-06,0.04106188
2.9573096367470202e-06,0.041064757
2.9573098808880203e-06,0.041059003
2.9573101250290204e-06,0.041064757
2.9573103691700205e-06,0.041056126
2.9573106133110207e-06,0.04106188
2.9573108574520208e-06,0.041056126
2.957311101593021e-06,0.041056126
2.957311345734021e-06,0.041053249
2.957311589875021e-06,0.041053249
2.957311834016021e-06,0.041056126
2.9573120781570213e-06,0.041053249
2.9573123222980214e-06,0.041059003
2.9573125664390215e-06,0.041056126
2.9573128105800216e-06,0.041056126
2.9573130547210217e-06,0.041056126
2.957313298862022e-06,0.041053249
2.957313543003022e-06,0.041056126
2.957313787144022e-06,0.041059003
2.957314031285022e-06,0.041064757
2.9573142754260223e-06,0.04106188
2.9573145195670224e-06,0.04106188
2.9573147637080225e-06,0.04106188
2.9573150078490226e-06,0.041064757
2.9573152519900227e-06,0.041067634
2.957315496131023e-06,0.041070511
2.957315740272023e-06,0.041076265
2.957315984413023e-06,0.041070511
2.957316228554023e-06,0.041076265
2.9573164726950232e-06,0.041076265
2.9573167168360233e-06,0.041079142
2.9573169609770234e-06,0.041082019
2.9573172051180235e-06,0.041084896
2.9573174492590237e-06,0.04109065
2.9573176934000238e-06,0.04109065
2.957317937541024e-06,0.041099281
2.957318181682024e-06,0.041096404
2.957318425823024e-06,0.041102158
2.957318669964024e-06,0.041102158
2.9573189141050243e-06,0.041105035
2.9573191582460244e-06,0.041107912
2.9573194023870245e-06,0.041110789
2.9573196465280246e-06,0.041116543
2.9573198906690247e-06,0.041116543
2.957320134810025e-06,0.041128051
2.957320378951025e-06,0.041128051
2.957320623092025e-06,0.041130928
2.957320867233025e-06,0.041133805
2.9573211113740253e-06,0.041136682
2.9573213555150254e-06,0.041142436
2.9573215996560255e-06,0.041145313
2.9573218437970256e-06,0.041153944
2.9573220879380257e-06,0.041153944
2.957322332079026e-06,0.041159698
2.957322576220026e-06,0.041159698
2.957322820361026e-06,0.041165452
2.957323064502026e-06,0.041171206
2.9573233086430262e-06,0.04117696
2.9573235527840263e-06,0.041182714
2.9573237969250264e-06,0.041182714
2.9573240410660265e-06,0.041191345
2.9573242852070267e-06,0.041191345
2.9573245293480268e-06,0.041197099
2.957324773489027e-06,0.041199976
2.957325017630027e-06,0.04120573
2.957325261771027e-06,0.041214361
2.957325505912027e-06,0.041214361
2.9573257500530273e-06,0.041225869
2.9573259941940274e-06,0.041222992
2.9573262383350275e-06,0.041231623
2.9573264824760276e-06,0.041231623
2.9573267266170277e-06,0.041237377
2.957326970758028e-06,0.041240254
2.957327214899028e-06,0.041243131
2.957327459040028e-06,0.041251762
2.957327703181028e-06,0.041251762
2.9573279473220283e-06,0.041260393
2.9573281914630284e-06,0.04126327
2.9573284356040285e-06,0.041266147
2.9573286797450286e-06,0.041269024
2.9573289238860287e-06,0.041271901
2.957329168027029e-06,0.041277655
2.957329412168029e-06,0.041280532
2.957329656309029e-06,0.041289163
2.957329900450029e-06,0.041289163
2.9573301445910292e-06,0.04129204
2.9573303887320293e-06,0.041294917
2.9573306328730294e-06,0.041300671
2.9573308770140295e-06,0.041303548
2.9573311211550297e-06,0.041309302
2.9573313652960298e-06,0.041315056
2.95733160943703e-06,0.041312179
2.95733185357803e-06,0.041317933
2.95733209771903e-06,0.041317933
2.95733234186003e-06,0.041323687
2.9573325860010303e-06,0.041326564
2.9573328301420304e-06,0.041329441
2.9573330742830305e-06,0.041338072
2.9573333184240306e-06,0.041335195
2.9573335625650307e-06,0.041343826
2.957333806706031e-06,0.041340949
2.957334050847031e-06,0.041346703
2.957334294988031e-06,0.041346703
2.957334539129031e-06,0.04134958
2.9573347832700313e-06,0.04134958
2.9573350274110314e-06,0.04134958
2.9573352715520315e-06,0.041358211
2.9573355156930316e-06,0.041355334
2.9573357598340317e-06,0.041363965
2.957336003975032e-06,0.041363965
2.957336248116032e-06,0.041363965
2.957336492257032e-06,0.041363965
2.957336736398032e-06,0.041363965
2.9573369805390322e-06,0.041369719
2.9573372246800323e-06,0.041369719
2.9573374688210324e-06,0.041375473
2.9573377129620325e-06,0.041372596
2.9573379571030326e-06,0.041375473
2.9573382012440328e-06,0.041372596
2.957338445385033e-06,0.041375473
2.957338689526033e-06,0.04137835
2.957338933667033e-06,0.041381227
2.957339177808033e-06,0.041384104
2.9573394219490333e-06,0.04137835
2.9573396660900334e-06,0.041384104
2.9573399102310335e-06,0.04137835
2.9573401543720336e-06,0.041381227
2.9573403985130337e-06,0.041384104
2.957340642654034e-06,0.041384104
2.957340886795034e-06,0.041389858
2.957341130936034e-06,0.041384104
2.957341375077034e-06,0.041392735
2.9573416192180343e-06,0.041384104
2.9573418633590344e-06,0.041389858
2.9573421075000345e-06,0.041384104
2.9573423516410346e-06,0.041386981
2.9573425957820347e-06,0.041386981
2.957342839923035e-06,0.041384104
2.957343084064035e-06,0.041386981
2.957343328205035e-06,0.041384104
2.957343572346035e-06,0.041389858
2.9573438164870352e-06,0.041386981
2.9573440606280353e-06,0.041384104
2.9573443047690354e-06,0.041384104
2.9573445489100355e-06,0.041381227
2.9573447930510356e-06,0.041384104
2.9573450371920358e-06,0.041384104
2.957345281333036e-06,0.041386981
2.957345525474036e-06,0.041381227
2.957345769615036e-06,0.041381227
2.957346013756036e-06,0.04137835
2.9573462578970363e-06,0.041381227
2.9573465020380364e-06,0.041381227
2.9573467461790365e-06,0.041381227
2.9573469903200366e-06,0.041384104
2.9573472344610367e-06,0.041375473
2.957347478602037e-06,0.04137835
2.957347722743037e-06,0.041375473
2.957347966884037e-06,0.041375473
2.957348211025037e-06,0.041375473
2.9573484551660373e-06,0.041375473
2.9573486993070374e-06,0.04137835
2.9573489434480375e-06,0.041372596
2.9573491875890376e-06,0.04137835
2.9573494317300377e-06,0.041372596
2.957349675871038e-06,0.041375473
2.957349920012038e-06,0.041369719
2.957350164153038e-06,0.041369719
2.957350408294038e-06,0.041369719
2.9573506524350382e-06,0.041366842
2.9573508965760383e-06,0.041369719
2.9573511407170384e-06,0.041363965
2.9573513848580385e-06,0.041369719
2.9573516289990386e-06,0.041366842
2.9573518731400388e-06,0.041363965
2.957352117281039e-06,0.041363965
2.957352361422039e-06,0.041361088
2.957352605563039e-06,0.041363965
2.957352849704039e-06,0.041363965
2.9573530938450393e-06,0.041366842
2.9573533379860394e-06,0.041361088
2.9573535821270395e-06,0.041361088
2.9573538262680396e-06,0.041358211
2.9573540704090397e-06,0.041361088
2.95735431455004e-06,0.041361088
2.95735455869104e-06,0.041363965
2.95735480283204e-06,0.041363965
2.95735504697304e-06,0.041358211
2.9573552911140403e-06,0.041363965
2.9573555352550404e-06,0.041358211
2.9573557793960405e-06,0.041361088
2.9573560235370406e-06,0.041361088
2.9573562676780407e-06,0.041361088
2.9573565118190408e-06,0.041366842
2.957356755960041e-06,0.041361088
2.957357000101041e-06,0.041369719
2.957357244242041e-06,0.041363965
2.9573574883830412e-06,0.041366842
2.9573577325240413e-06,0.041363965
2.9573579766650414e-06,0.041363965
2.9573582208060415e-06,0.041366842
2.9573584649470416e-06,0.041363965
2.9573587090880418e-06,0.041369719
2.957358953229042e-06,0.041366842
2.957359197370042e-06,0.041372596
2.957359441511042e-06,0.041372596
2.957359685652042e-06,0.041372596
2.9573599297930423e-06,0.041372596
2.9573601739340424e-06,0.041372596
2.9573604180750425e-06,0.041375473
2.9573606622160426e-06,0.04137835
2.9573609063570427e-06,0.041384104
2.957361150498043e-06,0.041381227
2.957361394639043e-06,0.041384104
2.957361638780043e-06,0.041384104
2.957361882921043e-06,0.041386981
2.9573621270620433e-06,0.041389858
2.9573623712030434e-06,0.041392735
2.9573626153440435e-06,0.041398489
2.9573628594850436e-06,0.041395612
2.9573631036260437e-06,0.041401366
